filename,statement,type
page_46.png,Participate in fine motor activity for self-expression and/or social interaction.,Content Area
page_46.png,"With guidance and support, use fine motor skills for self-expression (e.g., coloring, painting, building, dressing up in dramatic play).",performance standards
page_46.png,"With guidance and support, participate in group activities involving fine motor experiences (e.g., playing with blocks together, finger plays and dramatic play).",performance standards
page_46.png,Demonstrate emerging competency in self-help skills needed to perform a variety of physical activities.,Content Area
page_46.png,"With guidance and support, participate in self-care (e.g., dressing, brushing teeth, washing hands, feeding self).",performance standards
page_46.png,SELF-CARE HEALTH AND SAFETY SKILLS,Domain
page_46.png,Demonstrate an awareness and practice of safety rules.,Anchor Standard
page_46.png,"With guidance and support, identify and follow safety rules (e.g., classroom, home, community).",performance standards
page_46.png,"With guidance and support, practice safety procedures by responding appropriately to harmful or unsafe situations.",performance standards
page_46.png,"With guidance and support, demonstrate appropriate behavior to respect self and others in physical activity by following simple directions and safety procedures.",performance standards
page_46.png,Demonstrate an emerging use of standard health practices.,Anchor Standard
page_46.png,"With guidance and support, practice common health routines (e.g., resting, eating healthy meals, exercising and using appropriate personal hygiene).",performance standards
page_46.png,"With guidance and support, participate in a variety of physical activities.",performance standards
page_46.png,"With guidance and support, identify nutritious foods.",performance standards
page_52.png,OVERVIEW,Content Area
page_52.png,"The College- and Career-Readiness Standards (CCRS) for English Language Arts are the culmination of an extended, broad-based effort to fulfill the charge issued by the states to create the next generation of K-12 standards in order to help ensure that all students are college- and career-ready in literacy no later than the end of high school.",Domain
page_52.png,"The CCRS for English Language Arts (ELA) are divided into Reading, Writing, Speaking and Listening, and Language Strands based on the College- and Career-Readiness (CCR) Anchor Standards that are identical across all grade levels.  The Mississippi Early Learning Standards for Classrooms Serving Four-Year-Old Children were developed to correlate to the CCRS and follow the CCR anchor standards in each strand.  Each standard for four-year-olds corresponds to the same-numbered CCR anchor standard.  In some cases, there will not be a developmentally appropriate standard for a CCR anchor standard.",Anchor Standard
page_53.png,College- and Career-Readiness,Content Area
page_53.png,ANCHOR STANDARDS for READING,Domain
page_53.png,Key Ideas and Details,Anchor Standard
,1.Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.,Anchor Standard
page_53.png,"2.	Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.",Anchor Standard
page_53.png,"Craft and Structure4.	Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.",Anchor Standard
page_53.png,"5.	Analyze the structure of texts including how specific sentences paragraphs and larger portions of the text (e.g. a section chapter scene or stanza) relate to each other and the whole.",Anchor Standard
page_53.png,"6.	Assess how point of view or purpose shapes the content and style of a text.",Anchor Standard
page_53.png,"Integration of Knowledge and Ideas7.	Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.",Anchor Standard
page_53.png,"8.	Delineate and evaluate the argument and specific claims in a text including the validity of the reasoning as well as the relevance and sufficiency of the evidence.",Anchor Standard
page_53.png,"9.	Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.",Anchor Standard
page_47.png,3. With guidance and support,use money in pretend play in order to set in motion an understanding of the role money plays in the environment (e.g.
page_45.png,THREE-YEAR-OLD CHILDREN,Content Area
page_45.png,PHYSICAL DEVELOPMENT Standards,Domain
page_45.png,GROSS MOTOR SKILLS,Anchor Standard
page_45.png,"Demonstrate understanding of gross motor concepts as they apply to the learning, development and performance of physical activities.",performance standards
page_45.png,"Identify body parts (e.g., knee, foot, arm).",performance standards
page_45.png,"With guidance and support, demonstrate coordination of large muscles to perform simple motor tasks (e.g., climbing, jumping, stretching, twisting, throwing a ball).",performance standards
page_45.png,Demonstrate competency in gross motor skills and movement patterns needed to perform a variety of physical activities.,performance standards
page_45.png,"With guidance and support, demonstrate body coordination (e.g., balance, strength, moving in space, walking up and down stairs).",performance standards
page_45.png,"With guidance and support, use various types of equipment (e.g., playground equipment, tricycles, slides).",performance standards
page_45.png,"Begin to use words to describe activities that are familiar as well as activities that are new and challenging (e.g., pulling, bouncing, or hitting balls, riding wheel toys).",performance standards
page_45.png,FINE MOTOR,Anchor Standard
page_45.png,Demonstrate competency in fine motor skills needed to perform a variety of physical activities.,performance standards
page_45.png,"With guidance and support, use fine muscle and eye-hand coordination for such purposes as using utensils, self-care, building and exploring (e.g., place small objects in bottle).",performance standards
page_45.png,Demonstrate understanding of emerging (developing) fine motor skills as they apply to the learning and performance of physical activities.,performance standards
page_45.png,"With guidance and support, demonstrate emerging (developing) fine muscle coordination using manipulative materials that vary in size shape and skill requirement (e.g., press individual computer keys on a keyboard, use clay to form shapes).",performance standards
page_45.png,"With guidance and support, demonstrate emerging (developing) coordination of fine muscles to perform motor tasks (e.g., tearing, cutting, folding).",performance standards
page_44.png,EARTH AND SPACE SCIENCE,Content Area
page_44.png,Develop an awareness of earth science and space.,Domain
page_44.png,"With guidance and support, recognize that weather changes (e.g., rainy, windy, sunny, cloudy).",Anchor Standard
page_44.png,Observedaily display about weather and seasonal activity.,Anchor Standard
page_44.png,"Begin to identify objects in the sky (e.g., clouds, sun, moon and stars).",Anchor Standard
page_44.png,"Explore materials to create a display of common objects in the natural world (e.g., rocks, soil, leaves).",Anchor Standard
page_44.png,No developmentally appropriate standard.,performance standards
page_44.png,No developmentally appropriate standard.,performance standards
page_44.png,TECHNOLOGY,Content Area
page_44.png,Identify and explore a variety of technology tools.,Domain
page_44.png,"With guidance and support, explore appropriate technology tools to gather or communicate information (e.g., magnifying glass, telescope, microscope, computer, simple machines).",Anchor Standard
page_44.png,No developmentally appropriate standard.,performance standards
page_44.png,No developmentally appropriate standard.,performance standards
page_54.png,Range of Reading and Level of Text Complexity10.   Read and comprehend complex literary and informational texts independently and proficiently.,Content Area
