filename,statement,type,smartlevel
page_2.png,statement,type,smartlevel
page_2.png,Child develops the ability to show persistence in actions and behavior.,Domain,1.1
page_2.png,Birth to 9 mobirths.,label,1.1.1
page_2.png,"Shows increasing ability to. 'continue interactions with. {familiar adults or toys for. Increasing amounts of. Time,",performance standards,1.1.1.1
page_2.png,mobirths to 8 mobirths.,label,1.1.2
page_2.png,Shows wilingness to repeat. 'attempts to communicate. For to repeat actions to. Solve a problem even when. 'encountering difficulties.,performance standards,1.1.2.1
page_2.png,Te mobirths to 36 mobirths.,label,1.1.3
page_2.png,Shows increasing ability to. Stay engaged when. 'working towards a goal or. Solving a problem. Often. Tries ifferent strategies. Until successful.,performance standards,1.1.3.1
page_2.png,Child demonstrates the ability. Tobe flexible in actions and beh.,Domain,1.2
page_2.png,Birth to 9 mobirths.,label,1.2.1
page_2.png,"Shows repetitive patterns. In ations or behaviors, ut. Sometimes tries more than. Fone way to solve a. Problem or interact with.",performance standards,1.2.1.1
page_2.png,"""mobirths to 8 mobirths.""",label,1.2.2
page_2.png,"Shows ability to shift focus. To attend to something. 'else, participate in anew. Activity, ortrya new. 'approach to solving. Problem.",performance standards,1.2.2.1
page_2.png,6 mobirths to 36 mobirths.,label,1.2.3
page_2.png,"Modifies actions of. Behavior in social. Situations, daly routines, and problem solving, such. As playing quietly when. Asked or adjusting to. Changes in schedule.",performance standards,1.2.3.1
page_2.png,Initiative and curiosity.,Content Area,2
page_2.png,"Child demonstrates emerging initiative in. Teractions, experiences and explorations.",Domain,2.1
page_2.png,Ibirthto 9 mobirths.,label,2.1.1
page_2.png,"Initiates interactions with. {familiar adults through. 'expressions, actions, sounds or behaviors.",performance standards,2.1.1.1
page_2.png,"""mobirths to 8 mobirths.""",label,2.1.2
page_2.png,"Points to desired people, 'objects or places and. Initiates actions, such as. Looking fra favorite toy or. Bringing 2 book toa. Familiar adult to read. 2 actively resists actions. Items not wanted.",performance standards,2.1.2.1
page_2.png,Te mobirths to 36 mobirths.,label,2.1.3
page_2.png,"Prepares for or starts some. Activities without being. Directed by others, such as. Getting ready for the next. Activity or bringing a ball to. New child at the. Playground.",performance standards,2.1.3.1
page_2.png,_mlsisipp barly learning standards + infants through four-year old children. 13.,performance standards,2.1.3.2
page_3.png,statement,type,smartlevel
page_3.png,"Child shows interest in and curiosity about objects, materials, or events.",Domain,1.1
page_3.png,Birth to 9 mobirths.,label,1.1.1
page_3.png,"Shows excitement when. 'engaged in learning, such. As smiling ata familiar. Adult, laughing after. Batting at a mobil, kicking. 'or moving arms and legsin. 'an emphatic way of. Knocking over a toy.",performance standards,1.1.1.1
page_3.png,mobirths to 8 mobirths.,label,1.1.2
page_3.png,"Approaches new events, 'experiences with others, or. Materials with interest and. Curisity, such as intently. Listening to a new song or. 'examining new toys or. Material",performance standards,1.1.2.1
page_3.png,Actively resists actions of. Items net wanted,performance standards,1.1.2.2
page_3.png,te mobirths to 36 mobirths.,label,1.1.3
page_3.png,"Participates in new. Experiences, asks. Questions, and. Experiments with new. 'things or materials, such as. Collecting eaves and pine. Conesin the fll.",performance standards,1.1.3.1
page_3.png,Crearivity.,Domain,1.2
page_3.png,Child uses ereativity to inereas. Se understanding and learning.,Anchor Standard,1.2.1
page_3.png,[sith to 9 mobirths.,label,1.2.1.1
page_3.png,Uses variety of ways to. Interact with ather. People.,performance standards,1.2.1.1.1
page_3.png,"Changes. 'expressions, actions, or. Behaviors based on. Responses of others.",performance standards,1.2.1.1.2
page_3.png,Makes discoveries about. Self,performance standards,1.2.1.1.3
page_3.png,mobirths to 38 mobirths.,label,1.2.1.2
page_3.png,Finds new things to do. With familiar,performance standards,1.2.1.2.1
page_3.png,Uses abjects in new ways.,performance standards,1.2.1.2.2
page_3.png,16 mobirths to 36 mobirths.,label,1.2.1.3
page_3.png,Combines abjects of. Materials in new and. Unexpected ways.,performance standards,1.2.1.3.1
page_3.png,shows interest in and. Curiosity about the world. Around them such 35. Exploring new areas of 2.,performance standards,1.2.1.3.2
page_3.png,Seeks out new information. And explores new play and. 'tasks bath independently. And with adult support.,performance standards,1.2.1.3.3
page_3.png,Shows delight in creating. Something new.,performance standards,1.2.1.3.4
page_3.png,Child shows i. 'agination in play and interactions with others.,Anchor Standard,1.2.2
page_3.png,Ibirthto 9 mobirths.,label,1.2.2.1
page_3.png,Emerging.,performance standards,1.2.2.1.1
page_3.png,'mobirths to 8 mobirths.,label,1.2.2.2
page_3.png,"Uses sounds, gestures, signs, or words playfully. Through songs, fingerplays, cor games.",performance standards,1.2.2.2.1
page_3.png,Te mobirths ta 36 mobirths.,label,1.2.2.3
page_3.png,Uses imagination to. Explore possible uses of. Objects and materials.,performance standards,1.2.2.3.1
page_3.png,Engages in make-believe. Play with other children.,performance standards,1.2.2.3.2
page_3.png,_mlsisipp barly learning standards + infants through four-year old children. 4.,label,1.2.2.4
page_1.png,statement,type,smartlevel
page_1.png,® infant and toddler. 'approaches to learning standards.,Content Area,1
page_1.png,Emotional and behavioral self-regulation.,Domain,1.1
page_1.png,Child manages feelings,Anchor Standard,1.1.1
page_1.png,emotions and support of familiar adults. 'inh to mobirths.,label,1.1.1.1
page_1.png,"4. Interacts with familiar. Adults fr calming and. Comfort, to focus attention. And to share joy.",performance standards,1.1.1.1.1
page_1.png,mobirths to 18 mobirths.,label,1.1.1.2
page_1.png,"1. Seeks tobe close to familiar. 'adults for help with strong, 'emotions by physical or eve. Contac.",performance standards,1.1.1.2.1
page_1.png,Te mobirths to 36 mobirths.,label,1.1.1.3
page_1.png,"1. Uses various strategies to. Help manage strong. 'emotions, such as. Removing self from the. Situation, covering eyes or. Ears, or seeking support. From a familiar adult.",performance standards,1.1.1.3.1
page_1.png,Child manages actions and behavior with support of familiar adults,Anchor Standard,1.1.2
page_1.png,'inh 629 mobirths.,label,1.1.2.1
page_1.png,"4. Responds to attentive. Caregiving by quieting or. Calming down, suchas. When being fed or being. Comforted during moments. Of physical distress.",performance standards,1.1.2.1.1
page_1.png,'mobirths to 18 mobirths.,label,1.1.2.2
page_1.png,1. Looks to familiar adults for. Assistance and guidance. \with actions and behavior.,performance standards,1.1.2.2.1
page_1.png,2. May try to calm self by. Sucking on fingers or thumb. When overly excited of. Distressed.,performance standards,1.1.2.2.2
page_1.png,Te mobirths to 36 mobirths.,label,1.1.2.3
page_1.png,4. Begins to manage and. Adjust actions and behavior. With the guidance of. Familiar adults using words. Orsign.,performance standards,1.1.2.3.1
page_1.png,'cognitive self-regulation executive functioning),Domain,1.2
page_1.png,child maintains focus and keep. Ps attention with support.,Anchor Standard,1.2.1
page_1.png,'inh to mobirths.,label,1.2.1.1
page_1.png,"4. Develops, with support, some abilty to fiter out. Distracting sensory stimul. To focus an and attend to. Important people or. Cbjectsin the environment. With support.",performance standards,1.2.1.1.1
page_1.png,mobirths to 8 mobirths.,label,1.2.1.2
page_1.png,1. Shows increasing ability to. Attend to people.,performance standards,1.2.1.2.1
page_1.png,2. Shows increasing ability to. Attend to objects and. Activities.,performance standards,1.2.1.2.2
page_1.png,3. Shows increasing ability to. 'extend or complete an. Activity.,performance standards,1.2.1.2.3
page_1.png,4. Shows increasing ability to. Attend to or join others ina. 'common or shared focus.,performance standards,1.2.1.2.4
page_1.png,Te mobirths to 36 mobirths.,label,1.2.1.3
page_1.png,"4. Participates in activities. And experiences with. People, objects, of. 'materials that require. Attention and common or. Shared focus.",performance standards,1.2.1.3.1
page_1.png,_mlsisipp barly learning standards + infants through four-year old children.,Content Area,2
page_4.png,statement,type,smartlevel
page_4.png,® infant and toddler. 'social and emotional development standards,Content Area,1
page_4.png,Relationships with adults,Domain,1.1
page_4.png,"Cchild develops expectations of consistent, positive interactions through secure relationships",Anchor Standard,1.1.1
page_4.png,"With familiar adults, ibirthto 9 mobirths",label,1.1.1.1
page_4.png,mobirths to 8 mobirths,label,1.1.1.2
page_4.png,76 mobirths to 36 mobirths,label,1.1.1.3
